repo,file,commit,change_type,diff,change_count,condition_type,commit_subject,commit_body,linked_issues,linked_issues_count,issue_titles,issue_bodies,issue_states,issue_comments_count,issue_comments,MAN_ANNOTATED,COMMIT_DESC_ENOUGH,MAN_LINKED_ISSUES,DESC_ISSUE,ISSUE_NAME_CHNG_AFTER_CODE_IMP
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultListableBeanFactory.java,07a1aea9c73ef9859b7405c7c7d8e1905427e229,Condition_Change,"-			if (result instanceof Object[] array) {
+			if (result instanceof Object[] array && array.length > 1) {",2,condition,Skip array sort when the length of array not greater than 1,"Closes gh-30934
",['https://api.github.com/repos/spring-projects/spring-framework/issues/30934'],1,['Skip array sort when the length of array not greater than 1'],"[""Performance optimization(`org.springframework.beans.factory.support.DefaultListableBeanFactory#resolveMultipleBeans`):\r\n\r\nFor the sorting condition of `Collection`  is  `result instanceof List<?> list && list.size() > 1`, when the size of collection isn't greater than 1, it will skip sorting.\r\n\r\nSimilarly, skip array sort when the length of array not greater than 1.\r\n""]",['closed'],[1],['This has been merged into `6.0.x` and `main`.\r\n\r\nThanks'],,,,,
spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/vendor/SpringHibernateJpaPersistenceProvider.java,085565a771270f7a124186e7691381534018dd03,Add_Condition,"+import org.hibernate.bytecode.enhance.spi.EnhancementContext;
+
+					@Override
+					public void pushClassTransformer(EnhancementContext enhancementContext) {
+						if (!NativeDetector.inNativeImage()) {
+							super.pushClassTransformer(enhancementContext);
+						}
+					}",8,condition,Skip class transformer in PersistenceUnitInfoDescriptor for native images,"In order to restore native support with Hibernate 6.2, this
change updates the PersistenceUnitInfoDescriptor instance
created by SpringHibernateJpaPersistenceProvider in order to
skip the class transformer for native images.

Closes gh-30492
",['https://api.github.com/repos/spring-projects/spring-framework/issues/30492'],1,['Skip class transformer in `PersistenceUnitInfoDescriptor` for native images'],"['Due to [this change](https://github.com/hibernate/hibernate-orm/commit/800873c43d44bc954cef8f4abb11bfe4719570a8) in Hibernate 6.2, Bytebuddy class enhancement is now invoked via `SpringHibernateJpaPersistenceProvider` -> `PersistenceUnitInfoDescriptor` - > `EnhancingClassTransformerImpl` -> `BytecodeProviderInitiator.buildDefaultBytecodeProvider()`, breaking Hibernate integration when compiling to native images.\r\n\r\nThis change updates the `PersistenceUnitInfoDescriptor` instance created by `SpringHibernateJpaPersistenceProvider` in order to skip the class transformer with native.\r\n\r\nFootprint optimization will require completing #29549 is is outside of the scope of this change.']",['closed'],[8],"['See also related issues:\r\n- https://github.com/oracle/graalvm-reachability-metadata/pull/286\r\n- https://github.com/spring-projects/spring-boot/issues/35423', 'Hi @sdeleuze if I use Spring Framework 6.0.10-SNAPSHOT should this issue be resolved? Or is there more to it?', ""I opened oracle/graalvm-reachability-metadata#297 a little while ago, as this fix on its own doesn't seem to fix the issue."", '@edeandrea using Spring Framework 6.0.10-SNAPSHOT should be enough, provided the maven-native-plugin uses the latest available reachability metadata version (0.3.1 at the time of writing).\r\n\r\nSee my comment https://github.com/spring-projects/spring-boot/issues/35659#issuecomment-1566804157 for more details.', ""Thank you @davidbilge but that unfortunately didn't work."", ""> Thank you @davidbilge but that unfortunately didn't work.\r\n\r\nDid you try to use a specific version (0.3.1) of the reachability metadata in your pom.xml?\r\n\r\n"", 'Yes I did. I opened https://github.com/oracle/graalvm-reachability-metadata/issues/297 for it.', 'We are going to release GraalVM metadata `0.3.2` and Native Build Tools `0.9.23` that contains all Hibernate 6.2 fixes.']",,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ChannelSendOperator.java,09da10cc6c585995f4623793aa2b2f6a38b5284d,Add_Condition,"+		@Nullable
+		private Subscription subscription;
+
+			this.subscription = subscription;
+			Subscription subscription = this.subscription;
+			if (subscription != null) {
+				subscription.cancel();
+			}",8,condition,Propagate the cancel signal to the downstream,"Issue: SPR-17609
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/client/RestTemplate.java,0baa1a56c2f200d0cbd21a1318346670a4fa14d6,Add_Condition,"-			throw new ResourceAccessException(""I/O error: "" + ex.getMessage(), ex);
+			throw new ResourceAccessException(""I/O error on "" + method.name() +
+					"" request for \"""" + url + ""\"":"" + ex.getMessage(), ex);",3,iteration,Add URI and method name on ResourceAccess,"Issue: SPR-9325
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/config/DeprecatedBeanWarner.java,0d4ef4eafe7031781707f296af755387f30bcf88,Condition_Change,"-		if (StringUtils.hasLength(resourceDescription)) {
+		if (StringUtils.hasText(resourceDescription)) {",2,condition,Omit empty resource description in DeprecatedBeanWarner's log message,"Closes gh-32647
",['https://api.github.com/repos/spring-projects/spring-framework/issues/32647'],1,"[""Omit empty resource description in `DeprecatedBeanWarner`'s log message""]","['In this context, the hasText() method seems more appropriate. This is because considering cases where the resourceDescription string contains only whitespace ensures clearer logging, as it accounts for scenarios where the string is not empty but consists solely of whitespace characters.']",['closed'],[2],"['This has been merged into `main`.\r\n\r\nThanks', '> This has been merged into `main`.\r\n> \r\n> Thanks\r\n\r\nThanks! @sbrannen ']",,,,,
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/annotation/AnnotationTypeMapping.java,279777b2f3a43ed96eb8151f07b76f38672cc78f,Condition_Change,"-					if (lastValue != null &&
-							!ObjectUtils.nullSafeEquals(lastValue, value)) {
+					if (lastValue != null && !ObjectUtils.nullSafeEquals(lastValue, value)) {",3,condition,Polishing,,[],0,[],[],[],[],[],1,1,n/a,n/a,n/a
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ReactorHttpHandlerAdapter.java,1278459ad536126a7c707e4b69a0a359f54bb556,Add_Condition,"-public class ReactorHttpHandlerAdapter
-		implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
+public class ReactorHttpHandlerAdapter implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
-
-			logger.error(""Invalid URL "" + ex.getMessage(), ex);
+			if (logger.isWarnEnabled()) {
+				logger.warn(""Invalid URL for incoming request: "" + ex.getMessage());
+			}",8,iteration,ReactorHttpHandlerAdapter logs bad request at warn level only,"Issue: SPR-16524
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ReactorHttpHandlerAdapter.java,1278459ad536126a7c707e4b69a0a359f54bb556,Add_Condition,"-public class ReactorHttpHandlerAdapter
-		implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
+public class ReactorHttpHandlerAdapter implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
-
-			logger.error(""Invalid URL "" + ex.getMessage(), ex);
+			if (logger.isWarnEnabled()) {
+				logger.warn(""Invalid URL for incoming request: "" + ex.getMessage());
+			}",8,condition,ReactorHttpHandlerAdapter logs bad request at warn level only,"Issue: SPR-16524
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/io/support/PathMatchingResourcePatternResolver.java,14bc0d6469d8fa887f6829c7ef827fc227349ead,Condition_Change,"-			if (rootDirResources == null & StringUtils.hasLength(commonPrefix)) {
+			if (rootDirResources == null && StringUtils.hasLength(commonPrefix)) {",2,condition,Fix typo in condition check,"See gh-21190
",['https://api.github.com/repos/spring-projects/spring-framework/issues/21190'],1,['Reduce the effect of different base package configuration on component scanning performance and make the effect more intuitive [SPR-16649]'],"[""**[Andy Wilkinson](https://jira.spring.io/secure/ViewProfile.jspa?name=awilkinson)** opened **[SPR-16649](https://jira.spring.io/browse/SPR-16649?redirect=false)** and commented\n\nThe base package configuration that's used for component scanning can have a significant impact on the time that the scan can take. In some cases the impact of narrowing the scan can be counter-intuitive as it actually takes longer to scan fewer packages. I've attached a small sample that reproduces the behaviour that I'll describe below.\n\nIn a large application (200 packages, each with 50 classes) scanning all 200 packages takes 601ms when those packages are available directly on the filesystem:\n\n```\n$ ./gradlew run -Ppackages=single\n\n> Task :run\nScanning single took 601ms\n\n\nBUILD SUCCESSFUL in 10s\n2 actionable tasks: 2 executed\n```\n\nIf the scanning is narrowed to the 100 packages that are of interest, the time taken decreases to 403ms:\n\n```\n./gradlew run -Ppackages=multi\n\n> Task :run\nScanning multi took 403ms\n\n\nBUILD SUCCESSFUL in 1s\n2 actionable tasks: 1 executed, 1 up-to-date\n```\n\nHalving the number of packages that are scanned has reduced the time taken by roughly a third.\n\nIf the application is packaged as a jar file, the time taken to scan all 200 packages increases slightly to 657ms:\n\n```\n$ ./gradlew distZip && unzip build/distributions/component-scanning-performance.zip -d build/distributions && build/distributions/component-scanning-performance/bin/component-scanning-performance single\n\nBUILD SUCCESSFUL in 2s\n4 actionable tasks: 3 executed, 1 up-to-date\nArchive:  build/distributions/component-scanning-performance.zip\n   creating: build/distributions/component-scanning-performance/\n   creating: build/distributions/component-scanning-performance/lib/\n  inflating: build/distributions/component-scanning-performance/lib/component-scanning-performance.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-context-5.0.4.RELEASE.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-aop-5.0.4.RELEASE.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-beans-5.0.4.RELEASE.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-expression-5.0.4.RELEASE.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-core-5.0.4.RELEASE.jar\n  inflating: build/distributions/component-scanning-performance/lib/spring-jcl-5.0.4.RELEASE.jar\n   creating: build/distributions/component-scanning-performance/bin/\n  inflating: build/distributions/component-scanning-performance/bin/component-scanning-performance\n  inflating: build/distributions/component-scanning-performance/bin/component-scanning-performance.bat\nScanning single took 657ms\n```\n\nIf we then narrow the scan to focus on the 100 packages of interest, the time taken for the scan increases significantly to 1084ms:\n\n```\n$ build/distributions/component-scanning-performance/bin/component-scanning-performance multi\nScanning multi took 1084ms\n```\n\nOn the surface, I find it unintuitive that narrowing the packages that need to be scanned takes longer when the packages are in a jar file. This problem is exacerbated by the fact that the scan is faster when the scan is narrowed when the packages are on the file system. This means that, for optimal scanning performance, you may need one configuration during development and test and another in production.\n\nThe scan's slower in the jar file case as, when a package exists in a jar file, the whole jar is scanned. This means that when the scan is narrowed by providing 100 sub-packages rather than a single parent package, the whole jar is scanned 100 times rather than once. Would it be possible to provide an entry point to scanning that takes multiple base packages? Then, if multiple base packages resolve to the same jar, the jar could be scanned once to find matches across all the base packages.\n\n\n---\n\n**Affects:** 4.3.14, 5.0.4\n\n**Attachments:**\n- [component-scanning-performance.zip](https://jira.spring.io/secure/attachment/25436/component-scanning-performance.zip) (_4.67 MB_)\n\n0 votes, 5 watchers\n""]",['closed'],[1],"[""I've introduced custom root directory and jar caching in `PathMatchingResourcePatternResolver` now, bringing scanning performance for all individual subpackages to the same level as a single scan for the root package. No new API necessary (aside from a `clearCache()` method for the application context to call on refresh completion), and the caching applies to any individual scanning attempts against the same `PathMatchingResourcePatternResolver` instance (usually the shared one in the context).""]",,,,,
spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/event/SimpleApplicationEventMulticaster.java,153fd82946c350a0c42be2dbd13774d5ee9ffc0c,Condition_Change,"+import org.apache.commons.logging.Log;
-				if (ex.getMessage().startsWith(event.getClass().getName())) {
+				String msg = ex.getMessage();
+				if (msg != null && msg.startsWith(event.getClass().getName())) {
-					LogFactory.getLog(getClass()).debug(""Non-matching event type for listener: "" + listener, ex);
+					Log logger = LogFactory.getLog(getClass());
+					if (logger.isDebugEnabled()) {
+						logger.debug(""Non-matching event type for listener: "" + listener, ex);
+					}",9,iteration,SimpleApplicationEventMulticaster defensively handles ClassCastException without message,"Issue: SPR-15145
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-webflux/src/main/java/org/springframework/web/reactive/function/client/DefaultWebClientBuilder.java,1694691b791d9f86e735a9d31fc6820bd8f3c55c,Add_Condition,"+import org.springframework.http.client.reactive.JdkClientHttpConnector;
-		throw new IllegalStateException(""No suitable default ClientHttpConnector found"");
+		else {
+			return new JdkClientHttpConnector();
+		}",5,condition,Default to JDK HttpClient if no others present,"Closes gh-23432
",['https://api.github.com/repos/spring-projects/spring-framework/issues/23432'],1,['JDK 11 HttpClient integration with WebClient'],['This a simple implementation of ClientHttpResponse that levrage\r\nJDK 11 HttpClient.\r\n\r\nCloses gh-21014'],['closed'],[15],"['@Julien-Eyraud Please sign the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-framework&pullRequestId=23432)!\n\n[Click here](https://cla.pivotal.io/sync/spring?repositoryId=spring-projects/spring-framework&pullRequestId=23432) to manually synchronize the status of this Pull Request.\n\nSee the [FAQ](https://cla.pivotal.io/about) for frequently asked questions.', '@Julien-Eyraud Thank you for signing the [Contributor License Agreement](https://cla.pivotal.io/sign/spring?repositoryId=spring-projects/spring-framework&pullRequestId=23432)!', 'Cross-linking to #17778 that this depends on.', '@Julien-Eyraud amazing feature :) would be awesome to resolve conflicts and see this merged...', ""@rdsubhas I won't fix merge until https://github.com/spring-projects/spring-framework/issues/17778 is fixed"", ""I've created a Spring Boot starter using the code from this PR: https://github.com/candrews/java-httpclient-webclient-spring-boot-starter.\r\n\r\nIt provides a really simple way to configure WebClient to use Java 11's HttpClient; just add the dependency (which I've published to [Maven Central](https://search.maven.org/artifact/com.integralblue/java-httpclient-webclient-spring-boot-starter)) to your project and you're done.\r\n\r\nHopefully, it helps those of us who really would like this feature hold out until it lands in Spring itself :)"", 'So, is this still happening?', ""I don't know I can update the PR to fix conflict and change the target branch. It's up to the maintainer now."", 'The `main` branch is on JDK 17 now, so we can move forward with this.', ""I've rebase my branch on main. I've updated the JdkClientHttpResponse#getCookies with a duplicate from JettyClientHttpResponse#parseSameSite. I didn't know where to but it to use a common code. I also updated the documentation."", 'I just saw your JdkClientHttpConnector pullrequest. \r\nPlease add it here as default if no other is on the classpath org.springframework.web.reactive.function.client.DefaultWebClientBuilder.initConnector()\r\ninstead of throwing an Exception\r\n throw new IllegalStateException(""No suitable default ClientHttpConnector found"");\r\n\r\nA problem is that child classes of AbstractWebClientReactiveOAuth2AccessTokenResponseClient\r\nAlways creates a new Webclient with: \r\nprivate WebClient webClient = WebClient.builder().build(); \r\nwhich invokes the DefaultWebClientBuilder.initConnector() leading to the IllegalStateException. \r\n\r\nOr at least add a Constructor to AbstractWebClientReactiveOAuth2AccessTokenResponseClient which takes a preinitialized WebClient instead of creating a new one.\r\n\r\nSincerely\r\nRolf\r\n\r\n\r\n\r\n', ""It's an interesting point @rk99d339. I'll wait for maintainer feedback. I hope I'll be able to merge soon."", ""Hi @rstoyanchev do you think I can have a review soon ? Or this will be discard ? What do you think about rk99d339's comment ?"", ""Yes, I'm reviewing this and should have an update soon."", ""This is now in `main`. I've also made sure the JDK client is used by default when no others are present.""]",,,,,
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/xml/XmlValidationModeDetector.java,1763bfbad04704f4a38290f371119a3544f7546b,Condition_Change,"-		return (content.indexOf(DOCTYPE) > -1);
+		return content.contains(DOCTYPE);
-		return (openTagIndex > -1 && content.length() > openTagIndex && Character.isLetter(content.charAt(openTagIndex + 1)));
+		return (openTagIndex > -1 && (content.length() > openTagIndex + 1) &&
+				Character.isLetter(content.charAt(openTagIndex + 1)));
-		if (line.indexOf(START_COMMENT) == -1 && line.indexOf(END_COMMENT) == -1) {
+		if (!line.contains(START_COMMENT) && !line.contains(END_COMMENT)) {",7,condition,Fixed content length check in XmlValidationModeDetector,"Issue: SPR-11477
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerAdapter.java,1815a6a7ebafb184b1f08de6245898b19de19c6a,Add_Condition,"-	private static final boolean completionStagePresent = ClassUtils.isPresent(""java.util.concurrent.CompletionStage"",
-			RequestMappingHandlerAdapter.class.getClassLoader());
+	private static final boolean completionStagePresent = ClassUtils.isPresent(
+			""java.util.concurrent.CompletionStage"", RequestMappingHandlerAdapter.class.getClassLoader());
-
-		mav = invokeHandlerMethod(request, response, handlerMethod);
+		else {
+			mav = invokeHandlerMethod(request, response, handlerMethod);
+		}",9,condition,RequestMappingHandlerAdapter properly invokes handler method in synchronizeOnSession mode again,"Issue: SPR-13999
",[],0,[],[],[],[],[],,,,,
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/filter/UrlHandlerFilter.java,194b4cedfbf9f947797d97af851c8e718c2aa91e,Condition_Change,"+import org.springframework.http.server.PathContainer;
-				if (!entry.getKey().canHandle(request)) {
+				if (!entry.getKey().canHandle(request, path)) {
-		boolean canHandle(HttpServletRequest request);
+		boolean canHandle(HttpServletRequest request, RequestPath path);
-		public boolean canHandle(HttpServletRequest request) {
-			return request.getRequestURI().endsWith(""/"");
+		public boolean canHandle(HttpServletRequest request, RequestPath path) {
+			List<PathContainer.Element> elements = path.elements();
+			return (!elements.isEmpty() && elements.get(elements.size() - 1).value().equals(""/""));",10,condition,Use parsed path for checks in UrlHandlerFilter,"See gh-32830
",['https://api.github.com/repos/spring-projects/spring-framework/issues/32830'],1,['Create WebFlux equivalent filter to handle URLs with trailing slashes '],"['The `UrHandlerFilter` under #31366 is for use with Spring MVC and the Servlet API. This issue is to create the same for use with WebFlux, which will have the same functionality but for the WebFlux API. ']",['closed'],[0],[],,,,,
