commit,repo,file,change_type,diff,change_count,condition_type,commit_subject,commit_body,note
03d6350e4b3c7e23e3cc84bf3f261f2c53b5b1e9,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/method/support/InvocableHandlerMethod.java,Condition_Change,"-		if (providedArgs == null || parameter.hasParameterAnnotations()) {
+		if (providedArgs == null) {",2,condition,Fix issue with resolution of WebDataBinder argument,"There is usually not need to put annotations on a WebDataBinder
argument in an `@InitBinder` method. However, the presence of any
annotation prevented the successful resolution of the argument.
This fix addresses the issue.

Issue: SPR-8946
",
044ea17bf935d651c269baad966d58f8fcf6c9aa,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java,Condition_Change,"-		if (reactorPresent && ClassUtils.isPresent(""kotlinx.coroutines.Deferred"", classLoader)) {
+		if (this.reactorPresent && ClassUtils.isPresent(""kotlinx.coroutines.Deferred"", classLoader)) {
-		if (reactorPresent && ClassUtils.isPresent(""kotlinx.coroutines.flow.Flow"", classLoader)) {
+		if (this.reactorPresent && ClassUtils.isPresent(""kotlinx.coroutines.flow.Flow"", classLoader)) {",4,condition,Polishing,,
050e79e45ed0cdab1a4e3f522e2e9b601a13d94d,spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/AbstractMessageConverterMethodProcessor.java,Add_Condition,"-	 * Check if the path has a file extension and whether the extension is either
-	 * {@link #WHITELISTED_EXTENSIONS whitelisted} or
-	 * {@link ContentNegotiationManager#getAllFileExtensions() explicitly
-	 * registered}. If not add a 'Content-Disposition' header with a safe
-	 * attachment file name (""f.txt"") to prevent RFD exploits.
+	 * Check if the path has a file extension and whether the extension is
+	 * either {@link #WHITELISTED_EXTENSIONS whitelisted} or explicitly
+	 * {@link ContentNegotiationManager#getAllFileExtensions() registered}.
+	 * If not, and the status is in the 2xx range, a 'Content-Disposition'
+	 * header with a safe attachment file name (""f.txt"") is added to prevent
+	 * RFD exploits.
+		try {
+			int status = response.getServletResponse().getStatus();
+			if (status < 200 || status > 299) {
+				return;
+			}
+		}
+		catch (Throwable ex) {
+			// Ignore
+		}
+",9,condition,Skip Content-Disposition header if status != 2xx,"Issue: SPR-13588
",
052bbcc53031bd48dc76d070ba862f5293618600,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/ClassUtils.java,"Add_Condition, Condition_Change","+		Class<?>[] parameterTypes = null;
-			Class<?>[] ifcs = current.getInterfaces();
-			for (Class<?> ifc : ifcs) {
+			if (parameterTypes == null) {
+				// Since Method#getParameterTypes() clones the array, we lazily retrieve
+				// and cache parameter types to avoid cloning the array multiple times.
+				parameterTypes = method.getParameterTypes();
+			}
+			for (Class<?> ifc : current.getInterfaces()) {
-					return ifc.getMethod(method.getName(), method.getParameterTypes());
+					return ifc.getMethod(method.getName(), parameterTypes);",9,"condition, iteration",Cache parameter types array in ClassUtils.findInterfaceMethodIfPossible(),,
05521027800ef2a49342ac7ef2e5cd1304a080bf,spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultSingletonBeanRegistry.java,Condition_Change,"- * Copyright 2002-2019 the original author or authors.
+ * Copyright 2002-2020 the original author or authors.
+	/** Maximum number of suppressed exceptions to preserve. */
+	private static final int SUPPRESSED_EXCEPTIONS_LIMIT = 100;
+
+
-	/** List of suppressed Exceptions, available for associating related causes. */
+	/** Collection of suppressed Exceptions, available for associating related causes. */
-	 * Register an Exception that happened to get suppressed during the creation of a
+	 * Register an exception that happened to get suppressed during the creation of a
+	 * <p>The default implementation preserves any given exception in this registry's
+	 * collection of suppressed exceptions, up to a limit of 100 exceptions, adding
+	 * them as related causes to an eventual top-level {@link BeanCreationException}.
+	 * @see BeanCreationException#getRelatedCauses()
-			if (this.suppressedExceptions != null) {
+			if (this.suppressedExceptions != null && this.suppressedExceptions.size() < SUPPRESSED_EXCEPTIONS_LIMIT) {",5,condition,Enforce limit for storing suppressed exceptions,"Closes gh-24902
",
05683fed7a3f9b51c4a251363504b0aef12826d3,spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/support/AbstractApplicationContext.java,Condition_Change,"-		if (beanFactory.getTempClassLoader() == null && beanFactory.containsBean(LOAD_TIME_WEAVER_BEAN_NAME)) {
+		if (!IN_NATIVE_IMAGE && beanFactory.getTempClassLoader() == null && beanFactory.containsBean(LOAD_TIME_WEAVER_BEAN_NAME)) {",2,condition,Skip LoadTimeWeaverAwareProcessor with native images,,
05b15812bbffc86cd3ee4c664e2eccfb4ec0092b,spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/RootBeanDefinition.java,Condition_Change,"-		if (attribute instanceof Constructor<?>[]) {
-			return (Constructor<?>[]) attribute;
+		if (attribute instanceof Constructor<?>[] constructors) {
+			return constructors;",4,condition,Apply instanceof pattern matching in RootBeanDefinition,"Closes gh-32520
",
05d616240ad08f69926368f5549b6472c27a0d5c,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/converter/StringHttpMessageConverter.java,Add_Condition,"+		else if (contentType != null && contentType.isCompatibleWith(MediaType.APPLICATION_JSON)) {
+			// Matching to AbstractJackson2HttpMessageConverter#DEFAULT_CHARSET
+			return StandardCharsets.UTF_8;
+		}",3,condition,StringHttpMessageConverter defaults to UTF-8 for JSON,"Issue: SPR-17568
",
0634555424a8742bbe95333c49975437af6eacf8,spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/condition/PatternsRequestCondition.java,Condition_Change,"+	@Override
+	@Override
-		boolean endsWithSlash = pattern.endsWith(""/"");
-			if (!endsWithSlash && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+			if (!pattern.endsWith(""/"") && this.pathMatcher.match(pattern + ""/"", lookupPath)) {
+	@Override",6,condition,Delay check if pattern ends with slash,"This is a minor fix with no actual impact.

Issue: SPR-10504
",
0637864b3909ab13727cb228258b778a265da8d9,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/annotation/AnnotationUtils.java,Condition_Change,"-		A annotation = clazz.getDeclaredAnnotation(annotationType);
-		if (annotation != null) {
-			return annotation;
+		if (isAnnotationDeclaredLocally(annotationType, clazz)) {
+			return clazz.getAnnotation(annotationType);
-			annotation = findAnnotation(ifc, annotationType, visited);
+			A annotation = findAnnotation(ifc, annotationType, visited);
-				annotation = findAnnotation(ann.annotationType(), annotationType, visited);
+				A annotation = findAnnotation(ann.annotationType(), annotationType,
+						visited);",10,condition,Ensure AnnotationUtils is compatible with Java 6,"The previous commit introduced a dependency on
Class.getDeclaredAnnotation() which is a Java 8 API.

This commit refactors AnnotationUtils.findAnnotation(Class, Class, Set)
to use Class.getAnnotation() in conjunction with
isAnnotationDeclaredLocally() in order to achieve the same desired
behavior.

Issue: SPR-11475
",
0720f9e9786a79503420a5c39f079f5d19aa8736,spring-projects/spring-framework,spring-webflux/src/main/java/org/springframework/web/reactive/function/server/RequestPredicates.java,Condition_Change,"-				if (!(result.get(0) instanceof Separator)) {
+				if (result.isEmpty() || !(result.get(0) instanceof Separator)) {",2,condition,Fix an eventual IndexOutOfBoundsException in RequestPredicates,,
0728e32e7f3b93e49dfc8c7af20b489b12b3e663,spring-projects/spring-framework,spring-jdbc/src/main/java/org/springframework/jdbc/support/rowset/ResultSetWrappingSqlRowSet.java,Add_Condition,"- * Copyright 2002-2012 the original author or authors.
+ * Copyright 2002-2014 the original author or authors.
-					this.columnLabelMap.put(rsmd.getColumnLabel(i), i);
+					String key = rsmd.getColumnLabel(i);
+					// Make sure to preserve first matching column for any given name,
+					// as defined in ResultSet's type-level javadoc (lines 81 to 83).
+					if (!this.columnLabelMap.containsKey(key)) {
+						this.columnLabelMap.put(key, i);
+					}",5,condition,ResultSetWrappingSqlRowSet preserves first matching column per name (as defined in ResultSet's javadoc),"Issue: SPR-11786
",
07a1aea9c73ef9859b7405c7c7d8e1905427e229,spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultListableBeanFactory.java,Condition_Change,"-			if (result instanceof Object[] array) {
+			if (result instanceof Object[] array && array.length > 1) {",2,condition,Skip array sort when the length of array not greater than 1,"Closes gh-30934
",
085565a771270f7a124186e7691381534018dd03,spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/vendor/SpringHibernateJpaPersistenceProvider.java,Add_Condition,"+import org.hibernate.bytecode.enhance.spi.EnhancementContext;
+
+					@Override
+					public void pushClassTransformer(EnhancementContext enhancementContext) {
+						if (!NativeDetector.inNativeImage()) {
+							super.pushClassTransformer(enhancementContext);
+						}
+					}",8,condition,Skip class transformer in PersistenceUnitInfoDescriptor for native images,"In order to restore native support with Hibernate 6.2, this
change updates the PersistenceUnitInfoDescriptor instance
created by SpringHibernateJpaPersistenceProvider in order to
skip the class transformer for native images.

Closes gh-30492
",
0933734fbb5dae4c523b3bc0fcfb30a927ddc209,spring-projects/spring-framework,spring-jms/src/main/java/org/springframework/jms/listener/DefaultMessageListenerContainer.java,Remove_Condition,"-	 * <p><b>Do not raise the number of concurrent consumers for a topic.</b>
-	 * This would lead to concurrent consumption of the same message,
-	 * which is hardly ever desirable.
+	 * <p><b>Do not raise the number of concurrent consumers for a topic,
+	 * unless vendor-specific setup measures clearly allow for it.</b>
+	 * With regular setup, this would lead to concurrent consumption
+	 * of the same message, which is hardly ever desirable.
-	@Override
-	protected void validateConfiguration() {
-		super.validateConfiguration();
-		synchronized (this.lifecycleMonitor) {
-			if (isSubscriptionDurable() && this.concurrentConsumers != 1) {
-				throw new IllegalArgumentException(""Only 1 concurrent consumer supported for durable subscription"");
-			}
-		}
-	}
-",10,condition,DefaultMessageListenerContainer allows for concurrent subscription consumers on WebLogic/ActiveMQ,"Issue: SPR-10037
",
09da10cc6c585995f4623793aa2b2f6a38b5284d,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ChannelSendOperator.java,Add_Condition,"+		@Nullable
+		private Subscription subscription;
+
+			this.subscription = subscription;
+			Subscription subscription = this.subscription;
+			if (subscription != null) {
+				subscription.cancel();
+			}",8,condition,Propagate the cancel signal to the downstream,"Issue: SPR-17609
",
0a92d84778dcb03dd5bf2860f2d997d1db2687f4,spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/hibernate5/SessionFactoryUtils.java,Add_Condition,"- * Copyright 2002-2020 the original author or authors.
+ * Copyright 2002-2022 the original author or authors.
-				session.close();
+				if (session.isOpen()) {
+					session.close();
+				}",4,condition,Check open status before close call (aligned with EntityManagerFactoryUtils),"Closes gh-27972
",
0a94dce41dd032d5f6c153863c52b2dcd1dd0e91,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/method/HandlerMethod.java,Condition_Change,"-import java.util.List;
+import java.util.Collection;
+import java.util.Map;
-						if (merged.stream().anyMatch(VALID_PREDICATE) && List.class.isAssignableFrom(type)) {
+						if (merged.stream().anyMatch(VALID_PREDICATE) &&
+								(Collection.class.isAssignableFrom(type) || Map.class.isAssignableFrom(type))) {",6,condition,Improve HandlerMethod check when method validation applies,"Method validation needs to be used for a container such as a List or
Map, but until now we were only checking for a List container.
Moreover, in gh-31530 we improved method validation to also cover
any Collection.

This change aligns with HandlerMethod check for when method validation
applies with the underlying ability of method validation.
",
0b1639d9635d31adfb6e6280776decf5fc91ec9f,spring-projects/spring-framework,spring-jdbc/src/main/java/org/springframework/jdbc/core/JdbcTemplate.java,Condition_Change,"- * Copyright 2002-2015 the original author or authors.
+ * Copyright 2002-2016 the original author or authors.
-	 * Set the fetch size for this JdbcTemplate. This is important for processing
-	 * large result sets: Setting this higher than the default value will increase
-	 * processing speed at the cost of memory consumption; setting this lower can
-	 * avoid transferring row data that will never be read by the application.
-	 * <p>Default is -1, indicating to use the JDBC driver's default
-	 * (i.e. to not pass a specific fetch size setting on the driver).
+	 * Set the fetch size for this JdbcTemplate. This is important for processing large
+	 * result sets: Setting this higher than the default value will increase processing
+	 * speed at the cost of memory consumption; setting this lower can avoid transferring
+	 * row data that will never be read by the application.
+	 * <p>Default is -1, indicating to use the JDBC driver's default configuration
+	 * (i.e. to not pass a specific fetch size setting on to the driver).
+	 * <p>Note: As of 4.3, negative values other than -1 will get passed on to the
+	 * driver, since e.g. MySQL supports special behavior for {@code Integer.MIN_VALUE}.
-	 * Set the maximum number of rows for this JdbcTemplate. This is important
-	 * for processing subsets of large result sets, avoiding to read and hold
-	 * the entire result set in the database or in the JDBC driver if we're
-	 * never interested in the entire result in the first place (for example,
-	 * when performing searches that might return a large number of matches).
-	 * <p>Default is -1, indicating to use the JDBC driver's default
-	 * (i.e. to not pass a specific max rows setting on the driver).
+	 * Set the maximum number of rows for this JdbcTemplate. This is important for
+	 * processing subsets of large result sets, avoiding to read and hold the entire
+	 * result set in the database or in the JDBC driver if we're never interested in
+	 * the entire result in the first place (for example, when performing searches
+	 * that might return a large number of matches).
+	 * <p>Default is -1, indicating to use the JDBC driver's default configuration
+	 * (i.e. to not pass a specific max rows setting on to the driver).
+	 * <p>Note: As of 4.3, negative values other than -1 will get passed on to the
+	 * driver, in sync with {@link #setFetchSize}'s support for special MySQL values.
-		if (fetchSize >= 0) {
+		if (fetchSize != -1) {
-		if (maxRows >= 0) {
+		if (maxRows != -1) {",4,condition,JdbcTemplate passes negative values other than -1 on to the driver (for MySQL's special values),"Issue: SPR-14028
",
0b580d194d2390c4cb860f337e146b90ba16c6f2,spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/AbstractEntityManagerFactoryBean.java,Add_Condition,"-						throw new PersistenceException(message + ""; nested exception is "" + causeString, cause);
+						ex = new PersistenceException(message + ""; nested exception is "" + causeString, cause);
+			if (logger.isErrorEnabled()) {
+				logger.error(""Failed to initialize JPA EntityManagerFactory: "" + ex.getMessage());
+			}",5,condition,Early log entry for async EntityManagerFactory initialization failure,"Closes gh-26093
",
0bd923b0a77f5da1d98018dc0c1301a1242e5f56,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/aot/hint/ExecutableHint.java,Condition_Change,"+import org.springframework.util.Assert;
-	 * @return the modes
+	 * @return the mode
-			if (this.mode == null || !this.mode.includes(mode)) {
+			Assert.notNull(mode, ""'mode' must not be null"");
+			if ((this.mode == null || !this.mode.includes(mode))) {",4,condition,Polishing,,
0c2b787cb5e7159ec40f6e5d9bb33a063e866b2d,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/asm/MethodWriter.java,Condition_Change,"-            if (code.length > 65536) {
+            if (code.length > 65535) {",2,condition,ASM fix #317578,"http://forge.ow2.org/tracker/?func=detail&aid=317578&group_id=23&atid=100023
",
0cc877ad0fb6dd5775b21b56fc773c577fd2d489,spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/ast/MethodReference.java,Condition_Change,"-		if (executorToCheck.get() instanceof ReflectiveMethodExecutor) {
+		if (executorToCheck != null && executorToCheck.get() instanceof ReflectiveMethodExecutor) {",2,condition,MethodReference accesses cached executor in a thread-safe manner,"Issue: SPR-12269
",
0d4ef4eafe7031781707f296af755387f30bcf88,spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/config/DeprecatedBeanWarner.java,Condition_Change,"-		if (StringUtils.hasLength(resourceDescription)) {
+		if (StringUtils.hasText(resourceDescription)) {",2,condition,Omit empty resource description in DeprecatedBeanWarner's log message,"Closes gh-32647
",
0eb73c130c4006b631edb6df6adebe1330fc07a7,spring-projects/spring-framework,spring-context-indexer/src/main/java/org/springframework/context/index/processor/TypeHelper.java,Condition_Change,"- * Copyright 2002-2019 the original author or authors.
+ * Copyright 2002-2021 the original author or authors.
-		if (type instanceof DeclaredType) {
-			DeclaredType declaredType = (DeclaredType) type;
+		if (type instanceof DeclaredType declaredType) {",3,condition,"Apply ""instanceof pattern matching"" Eclipse clean-up in spring-context-indexer",,
0ef29b204b94ab2aec9333338a2035a11c8d81fb,spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/GenericBeanDefinition.java,Add_Condition,"- * Copyright 2002-2012 the original author or authors.
+ * Copyright 2002-2014 the original author or authors.
-		return ""Generic bean: "" + super.toString();
+		StringBuilder sb = new StringBuilder(""Generic bean"");
+		if (this.parentName != null) {
+			sb.append("" with parent '"").append(this.parentName).append(""'"");
+		}
+		sb.append("": "").append(super.toString());
+		return sb.toString();",7,condition,GenericBeanDefinition's toString() takes parent definition into account,"Issue: SPR-9671
",
0f36569d75b814a43b081d5a8036534fc1090d62,spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/config/FreeMarkerConfigurerBeanDefinitionParser.java,Remove_Condition,"- * Copyright 2002-2018 the original author or authors.
+ * Copyright 2002-2021 the original author or authors.
-			if (locations.isEmpty()) {
-				locations.add(""/WEB-INF/"");
-			}",3,condition,Remove dead fallback code,,
0f70ac74cd07228bcf67db925b1c01c6b17fc092,spring-projects/spring-framework,spring-websocket/src/main/java/org/springframework/web/socket/server/standard/AbstractTyrusRequestUpgradeStrategy.java,Condition_Change,"-				if (constructor.getParameterCount() == 9) {
+				if (constructor.getParameterTypes().length == 9) {",2,condition,Polish,"Constructor.getParameterCount is JDK8+ only!
",
10838a636fbbd4a95ac3652bc7209e98c6a11f6c,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/multipart/support/StandardMultipartHttpServletRequest.java,Add_Condition,"-		if (msg != null && msg.contains(""size"") && msg.contains(""exceed"")) {
-			throw new MaxUploadSizeExceededException(-1, ex);
+		if (msg != null) {
+			msg = msg.toLowerCase();
+			if (msg.contains(""size"") && msg.contains(""exceed"")) {
+				throw new MaxUploadSizeExceededException(-1, ex);
+			}",7,condition,Correctly identify MaxUploadSizeExceededException in StandardMultipartHttpServletRequest,"This commit correctly identifies MaxUploadSizeExceededException in
StandardMultipartHttpServletRequest by converting keywords in the
exception message to lowercase before checking for their presence, for
compatibility with Jetty 9.4.x.

Closes gh-28759
",
1222ca38fb46a5c461fa41d2d4383469d10a2ede,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/client/RestTemplate.java,Add_Condition,"-		this.messageConverters.clear();
-		this.messageConverters.addAll(messageConverters);
+		// Take getMessageConverters() List as-is when passed in here
+		if (this.messageConverters != messageConverters) {
+			this.messageConverters.clear();
+			this.messageConverters.addAll(messageConverters);
+		}",6,condition,RestTemplate accepts getMessageConverters() List on setMessageConverters again,"Issue: SPR-11962
",
1273c90a645a4fcc79719f14b4dc500106dfac2b,spring-projects/spring-framework,spring-context/src/main/java/org/springframework/scheduling/annotation/ScheduledAnnotationBeanPostProcessor.java,Condition_Change,"- * {@code <task:annotation-driven>} XML element, and also by the @{@link EnableScheduling}
- * annotation.
+ * {@code <task:annotation-driven>} XML element, and also by the
+ * @{@link EnableScheduling} annotation.
- * <p>Auto-detects any {@link SchedulingConfigurer} instances in the container,
- * allowing for customization of the scheduler to be used or for fine-grained control
- * over task registration (e.g. registration of {@link Trigger} tasks.
+ * <p>Autodetects any {@link SchedulingConfigurer} instances in the container,
+ * allowing for customization of the scheduler to be used or for fine-grained
+ * control over task registration (e.g. registration of {@link Trigger} tasks.
-		if (!this.nonAnnotatedClasses.contains(bean.getClass())) {
+		Class<?> targetClass = AopUtils.getTargetClass(bean);
+		if (!this.nonAnnotatedClasses.contains(targetClass)) {
-			Class<?> targetClass = AopUtils.getTargetClass(bean);
-				this.nonAnnotatedClasses.add(bean.getClass());
+				this.nonAnnotatedClasses.add(targetClass);",6,condition,ScheduledAnnotationBeanPostProcessor uses target class as cache key in case of proxy,"Issue: SPR-12709
",
1278459ad536126a7c707e4b69a0a359f54bb556,spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/server/reactive/ReactorHttpHandlerAdapter.java,Add_Condition,"+ * @author Rossen Stoyanchev
-public class ReactorHttpHandlerAdapter
-		implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
+public class ReactorHttpHandlerAdapter implements BiFunction<HttpServerRequest, HttpServerResponse, Mono<Void>> {
-
-			logger.error(""Invalid URL "" + ex.getMessage(), ex);
+			if (logger.isWarnEnabled()) {
+				logger.warn(""Invalid URL for incoming request: "" + ex.getMessage());
+			}",8,condition,ReactorHttpHandlerAdapter logs bad request at warn level only,"Issue: SPR-16524
",
14bc0d6469d8fa887f6829c7ef827fc227349ead,spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/io/support/PathMatchingResourcePatternResolver.java,Condition_Change,"-		// Look for pre-cached root dir resources, either a direct match
-		// or for a parent directory in the same classpath locations.
+		// Look for pre-cached root dir resources, either a direct match or
+		// a match for a parent directory in the same classpath locations.
-			// No direct match -> search for parent directory match.
+			// No direct match -> search for a common parent directory match
+			// (cached based on repeated searches in the same base location,
+			// in particular for different root directories in the same jar).
-			if (rootDirResources == null & StringUtils.hasLength(commonPrefix)) {
+			if (rootDirResources == null && StringUtils.hasLength(commonPrefix)) {
-					// Replace existing subdirectory cache entry with common parent directory.
+					// Replace existing subdirectory cache entry with common parent directory,
+					// avoiding repeated determination of root directories in the same jar.",2,condition,Fix typo in condition check,"See gh-21190
",
153fd82946c350a0c42be2dbd13774d5ee9ffc0c,spring-projects/spring-framework,spring-context/src/main/java/org/springframework/context/event/SimpleApplicationEventMulticaster.java,Add_Condition,"- * Copyright 2002-2016 the original author or authors.
+ * Copyright 2002-2017 the original author or authors.
+import org.apache.commons.logging.Log;
-				if (ex.getMessage().startsWith(event.getClass().getName())) {
+				String msg = ex.getMessage();
+				if (msg != null && msg.startsWith(event.getClass().getName())) {
-					LogFactory.getLog(getClass()).debug(""Non-matching event type for listener: "" + listener, ex);
+					Log logger = LogFactory.getLog(getClass());
+					if (logger.isDebugEnabled()) {
+						logger.debug(""Non-matching event type for listener: "" + listener, ex);
+					}",9,condition,SimpleApplicationEventMulticaster defensively handles ClassCastException without message,"Issue: SPR-15145
",
